id,comentario,data
66,"O site não aceita cartão de crédito de algumas bandeiras.",2026-02-14
67,"Parabéns pela agilidade no processo de troca.",2026-02-14
68,"A bota de segurança é desconfortável para longas jornadas.",2026-02-15
69,"Não veio a quantidade de parafusos indicada na caixa.",2026-02-15
70,"O desconto para pagamento no PIX é muito bom.",2026-02-16
71,"O caminhoneiro foi muito grosso no momento da descarga.",2026-02-16
72,"Fiquei impressionado com a durabilidade desta ferramenta.",2026-02-17
73,"O anúncio dizia frete grátis mas fui cobrado no final.",2026-02-17
74,"A peça veio com ferrugem, parece que estava guardada em lugar úmido.",2026-02-18
75,"Interface web muito rápida, carrega tudo instantaneamente.",2026-02-18
76,"Atraso na entrega gerou prejuízo na colheita.",2026-02-19
77,"Suporte de TI resolveu meu problema de acesso remotamente.",2026-02-19
78,"O produto é bom, mas o pós-venda deixa a desejar.",2026-02-20
79,"Compro sempre e nunca tive problemas, empresa de confiança.",2026-02-20
80,"O teclado do computador de bordo é muito pequeno para usar com luvas.",2026-02-21
81,"A cor do trator na foto é muito mais viva que ao vivo.",2026-02-21
82,"Recebi um produto usado no lugar de um novo.",2026-02-22
83,"O atendimento na loja física de Rondonópolis é excelente.",2026-02-22
84,"O link de rastreamento enviado por SMS não abre.",2026-02-23
85,"A qualidade da soja entregue está abaixo do padrão contratado.",2026-02-23
86,"O adubo veio com granulometria irregular, entupiu a plantadeira.",2026-02-24
87,"A equipe de logística de MT é a mais eficiente que já vi.",2026-02-24
88,"O painel solar veio com um risco profundo no vidro.",2026-02-25
89,"Não consigo baixar o relatório de produtividade em PDF.",2026-02-25
90,"O atendimento presencial na filial foi nota 10.",2026-02-26
91,"A mangueira de irrigação ressecou e rachou em uma semana.",2026-02-26
92,"A integração com o sistema do governo para NFe falha muito.",2026-02-27
93,"Preço competitivo e entrega dentro do prazo estipulado.",2026-02-27
94,"O motorista não quis esperar a conferência da carga.",2026-02-28
95,"A qualidade das ferramentas manuais me surpreendeu positivamente.",2026-02-28
96,"O suporte por chat é automatizado demais, não resolve nada.",2026-03-01
97,"O pátio de triagem em Rondonópolis está muito desorganizado.",2026-03-01
98,"Recebi o pedido em duplicidade, como faço para devolver?",2026-03-02
99,"O site é seguro, mas o layout parece dos anos 90.",2026-03-02
100,"Ótimo atendimento pós-venda, me ligaram para saber se deu tudo certo.",2026-03-03
101,"A lona veio com as dimensões menores do que o anunciado.",2026-03-03
102,"O rastreador do caminhão parou de enviar sinal no meio da rota.",2026-03-04
103,"Insumos de primeira linha, minha safra agradece.",2026-03-04
104,"O aplicativo consome muita bateria do celular do motorista.",2026-03-05
105,"Faltou clareza sobre as taxas de juros no financiamento.",2026-03-05
106,"A entrega foi reprogramada três vezes sem aviso prévio.",2026-03-06
107,"O produto é excelente, mas o manual em inglês dificulta.",2026-03-06
108,"O sistema de pontos de fidelidade é muito vantajoso.",2026-03-07
109,"O lacre químico do galão veio violado e vazando.",2026-03-07
110,"Melhor logística de Mato Grosso, parabéns pela agilidade.",2026-03-08
111,"O terminal de autoatendimento da loja está sempre quebrado.",2026-03-08
112,"O produto superou todas as minhas expectativas técnicas.",2026-03-09
113,"A nota fiscal veio com o valor do frete errado.",2026-03-09
114,"O compressor de ar parou de funcionar no segundo dia de uso.",2026-03-10
115,"Site prático, rápido e com ótimas opções de pagamento.",2026-03-10
